"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"umls:C0014072","umls:C0014072","Experimental Autoimmune Encephalomyelitis","21/250","389/17381",2.25329142092331e-07,4.43488720572633e-05,3.40257785858085e-05,"84868/1493/3604/6348/953/4929/3458/10563/406947/7412/3560/7133/868/25897/64218/836/6774/25824/2625/9446/847",21
"umls:C0524909","umls:C0524909","Hepatitis B, Chronic","17/250","267/17381",3.40996023052447e-07,6.12787013480077e-05,4.70148490225629e-05,"84868/5133/1493/3604/3458/3805/8302/60489/7453/54/8638/356/4940/4599/3660/10379/847",17
"umls:C0079772","umls:C0079772","T-Cell Lymphoma","18/250","300/17381",3.67955250588499e-07,6.12787013480077e-05,4.70148490225629e-05,"5133/1493/939/3458/10563/3399/406947/639/3560/3398/10018/894/970/9260/6774/1499/2625/54790",18
"umls:C0021053","umls:C0021053","Immune System Diseases","14/250","194/17381",8.60237275098441e-07,0.000130919632239271,0.000100445450187708,"84868/5133/1493/953/3458/29851/26191/7128/5873/22806/10538/6774/2625/54790",14
"umls:C0993582","umls:C0993582","Arthritis, Experimental","13/250","167/17381",9.07064426600029e-07,0.000130919632239271,0.000100445450187708,"84868/1493/6348/4929/3458/7133/5066/868/356/6774/2182/847/1508",13
"umls:C0007570","umls:C0007570","Celiac Disease","20/250","390/17381",9.88000834098473e-07,0.00013368886286395,0.000102570086592591,"5996/5133/1493/3604/3122/3458/3805/952/29851/3560/26191/7292/7128/677/356/5445/11315/7037/2625/1508",20
"umls:C0024314","umls:C0024314","Lymphoproliferative Disorders","15/250","234/17381",1.56053607167384e-06,0.000198738858539639,0.000152478385207512,"1493/939/3458/10563/952/406947/639/3560/7133/7128/868/356/10018/9260/6774",15
"umls:C0007786","umls:C0007786","Brain Ischemia","20/250","415/17381",2.56335183150364e-06,0.000308314261955855,0.000236547905854547,"1493/6348/9760/5740/7412/3682/7133/356/3162/5445/4522/5583/3984/836/6774/2590/9446/847/1508/58496",20
"umls:C0024143","umls:C0024143","Lupus Nephritis","14/250","217/17381",3.24528390520485e-06,0.00036979156077729,0.000283715124787438,"5133/1435/3458/10563/7412/7292/7128/356/84959/4061/836/6774/4599/2625",14
"umls:C0023487","umls:C0023487","Acute Promyelocytic Leukemia","20/250","428/17381",4.08106410972652e-06,0.000441775189877896,0.000338943113955182,"5552/1435/3458/952/51676/3398/356/6310/9246/5359/7037/836/6774/79718/25824/5573/10379/54790/11262/4170",20
"umls:C0024282","umls:C0024282","Lymphocytosis","8/250","66/17381",4.57971853123413e-06,0.000472147172386757,0.000362245405628444,"1493/939/3458/952/406947/3682/356/9260",8
"umls:C0004943","umls:C0004943","Behcet Syndrome","17/250","325/17381",5.05051550512467e-06,0.000488725206311335,0.000374964568158156,"5133/1493/3458/3805/8302/7133/26191/7128/3162/7188/3428/84959/57157/6774/9051/2625/847",17
"umls:C0206180","umls:C0206180","Ki-1+ Anaplastic Large Cell Lymphoma","15/250","258/17381",5.19199988229132e-06,0.000488725206311335,0.000374964568158156,"3458/406947/639/3398/7133/356/10018/9260/5781/836/6774/808/50615/2625/4170",15
"umls:C3495559","umls:C3495559","Juvenile arthritis","17/250","333/17381",6.96653510693439e-06,0.000628439521104706,0.000482157561348354,"5996/1493/10663/6348/1846/4929/3458/1390/7133/26191/7128/3162/5873/10950/6774/9051/55500",17
"umls:C0079745","umls:C0079745","Lymphoma, Large-Cell, Follicular","12/250","176/17381",9.43057877309117e-06,0.000816688121749695,0.000626587507534226,"84868/1493/3458/29851/406947/7412/4046/10018/970/6774/54790/4170",12
"umls:C1292769","umls:C1292769","Precursor B-cell lymphoblastic leukemia","18/250","384/17381",1.20107763200922e-05,0.00100012810511537,0.000767328138992124,"1493/3458/10563/406947/7453/84159/3892/3516/22806/54806/5781/7037/79718/808/5573/10982/4170/2130",18
"umls:C1333064","umls:C1333064","Classical Hodgkin's Lymphoma","10/250","126/17381",1.41546379936552e-05,0.0011349922687505,0.000870799951422528,"5133/3122/3458/952/639/3398/7128/9260/6774/2625",10
"umls:C0019829","umls:C0019829","Hodgkin Disease","18/250","390/17381",1.47986488827468e-05,0.00114425267254096,0.000877904809660696,"5133/3458/114614/406947/5997/639/3398/3902/7292/7128/3162/10797/9260/5781/836/6774/399/2625",18
"umls:C0000786","umls:C0000786","Spontaneous abortion","14/250","249/17381",1.56735353187205e-05,0.00117011048155275,0.000897743692665731,"1493/3122/3458/3805/5740/8302/3732/3162/924/8832/2537/7037/3430/405",14
"umls:C0009447","umls:C0009447","Common Variable Immunodeficiency","10/250","130/17381",1.86151124598276e-05,0.00129739371636158,0.000995399190187709,"1493/939/3458/952/29851/7453/7133/4739/970/5573",10
"umls:C0151744","umls:C0151744","Myocardial Ischemia","20/250","476/17381",1.93870277601122e-05,0.00129739371636158,0.000995399190187709,"6348/953/952/3399/7412/7133/1890/3162/6310/894/9619/5445/7037/6774/808/4599/308/5606/2634/3939",20
"umls:C0024291","umls:C0024291","Lymphohistiocytosis, Hemophagocytic","8/250","80/17381",1.94396582506478e-05,0.00129739371636158,0.000995399190187709,"1493/1130/3458/3162/5873/9260/6774/405",8
"umls:C0011615","umls:C0011615","Dermatitis, Atopic","20/250","477/17381",1.99783676566108e-05,0.00129739371636158,0.000995399190187709,"1493/6348/939/9760/3458/9882/406947/7412/3560/7133/3516/3162/64218/4689/836/6774/50615/3660/2625/1508",20
"umls:C0334634","umls:C0334634","Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse","16/250","325/17381",2.0374774298519e-05,0.00129739371636158,0.000995399190187709,"1493/3604/952/406947/2597/4345/639/27115/10018/894/836/6774/5573/50615/1499/4170",16
"umls:C0026269","umls:C0026269","Mitral Valve Stenosis","13/250","224/17381",2.26585909948334e-05,0.00140159570010898,0.00107534606285254,"5133/1493/3604/4929/3458/10563/4345/3902/868/64218/11315/50615/4599",13
"umls:C0013595","umls:C0013595","Eczema","18/250","406/17381",2.52734881509687e-05,0.00151991949574576,0.00116612761117628,"84868/1493/6348/939/9760/3458/9882/406947/7412/3560/7133/3516/64218/6774/50615/3660/2625/1508",18
"umls:C0041234","umls:C0041234","Chagas Disease","11/250","167/17381",3.066908832962e-05,0.00179455611442236,0.00137683702373088,"1493/6348/939/3458/3560/7133/7167/57162/5445/29110/1508",11
"umls:C0038013","umls:C0038013","Ankylosing spondylitis","14/250","268/17381",3.54025577762166e-05,0.00201701414698708,0.00154751346733712,"5133/1493/4643/1435/3458/3805/5740/7133/26191/7128/5066/7188/84959/6774",14
"umls:C0026948","umls:C0026948","Mycosis Fungoides","10/250","142/17381",3.99335730479381e-05,0.0022168252730458,0.00170081452819558,"5133/1493/939/9760/3458/406947/7133/924/6774/3385",10
"umls:C1304470","umls:C1304470","Generalized vitiligo","5/250","29/17381",5.29637869985071e-05,0.0028054516037997,0.00215242622136668,"84868/1493/3458/26191/847",5
"umls:C0398686","umls:C0398686","Primary immune deficiency disorder","7/250","68/17381",5.37797039224679e-05,0.0028054516037997,0.00215242622136668,"1493/29851/5251/5873/6774/50615/10725",7
"umls:C0006413","umls:C0006413","Burkitt Lymphoma","12/250","210/17381",5.44244652931119e-05,0.0028054516037997,0.00215242622136668,"953/114614/952/3399/406947/639/25897/10018/9260/7037/836/4170",12
"umls:C1328840","umls:C1328840","Autoimmune Lymphoproliferative Syndrome","6/250","48/17381",6.17005412922414e-05,0.0031065505092489,0.00238343829030984,"1493/939/356/10018/6774/57819",6
"umls:C0023892","umls:C0023892","Biliary cirrhosis","9/250","123/17381",7.22218713719025e-05,0.00355364435273111,0.00272646203408761,"5133/1493/939/29851/26191/4664/22806/6774/3385",9
"umls:C0149678","umls:C0149678","Epstein-Barr Virus Infections","12/250","217/17381",7.46196685202806e-05,0.0035900351632535,0.00275438215029246,"953/939/5552/3458/952/7128/25897/970/9260/836/6774/2633",12
"umls:C0024312","umls:C0024312","Lymphopenia","7/250","74/17381",9.27919160463788e-05,0.00436727170087848,0.00335070122474109,"1493/939/7133/1509/836/6774/399",7
"umls:C0026857","umls:C0026857","Musculoskeletal Diseases","9/250","132/17381",0.000124506815452023,0.00573526075433255,0.00440026326502335,"1493/6348/3458/3560/7133/26191/356/5445/4522",9
"umls:C0009782","umls:C0009782","Connective Tissue Diseases","11/250","196/17381",0.000130387280466194,0.00582762496991164,0.00447112784855747,"5133/1493/6348/3458/3560/7133/26191/356/5445/4522/57819",11
"umls:C0032964","umls:C0032964","Pregnancy Complications, Hematologic","9/250","133/17381",0.000131895438118093,0.00582762496991164,0.00447112784855747,"1493/6348/3458/3560/7133/26191/356/5445/4522",9
"umls:C0035304","umls:C0035304","Retinal Degeneration","12/250","233/17381",0.000146319617096556,0.00633563942028085,0.00486089170059715,"4647/25861/2597/5873/64218/6310/8565/54806/5781/4061/7037/10982",12
"umls:C0948089","umls:C0948089","Acute Coronary Syndrome","14/250","308/17381",0.000156331466276697,0.0066364240095892,0.00509166261681379,"1493/3604/3458/2597/7412/26191/7292/356/3162/970/5445/836/6774/308",14
"umls:C1840264","umls:C1840264","IMMUNE SUPPRESSION","7/250","81/17381",0.000164651441670083,0.00685519944645632,0.00525951366306458,"5133/1493/3458/29851/7133/3162/6774",7
"umls:C0034150","umls:C0034150","Purpura","4/250","20/17381",0.000168867960310794,0.0068980968692994,0.00529242584648327,"1493/3458/26191/847",4
"umls:C0333516","umls:C0333516","Tumor necrosis","10/250","170/17381",0.000179668334181413,0.00720336932412517,0.00552663998710078,"3458/406947/3560/7133/3428/836/6774/4599/55072/1508",10
"umls:C0856825","umls:C0856825","Acute GVH disease","9/250","140/17381",0.000194587814292004,0.00763967719916383,0.00586138841389597,"1493/3458/3805/29851/406947/7412/7453/7133/26191",9
"umls:C0040100","umls:C0040100","Thymoma","10/250","172/17381",0.00019760827859269,0.00763967719916383,0.00586138841389597,"1493/3458/10563/2597/26191/6310/970/54806/2969/54790",10
"umls:C0178468","umls:C0178468","Autoimmune thyroid disease","8/250","114/17381",0.00024273318189054,0.00921960243496524,0.00707355422018969,"1493/6348/3458/29851/26191/7128/6774/50615",8
"umls:C0023448","umls:C0023448","Lymphoid leukemia","12/250","247/17381",0.000251151405083468,0.00937487572423636,0.00719268452308009,"1493/3458/952/406947/7453/84159/7128/677/894/4739/5781/79718",12
"umls:C0153690","umls:C0153690","Secondary malignant neoplasm of bone","13/250","287/17381",0.00027690012426598,0.0101608265938279,0.00779568949316175,"10663/1435/3458/7412/54/3732/3162/684/836/6774/808/4170/1508",13
"umls:C0036202","umls:C0036202","Sarcoidosis","12/250","253/17381",0.000312624973154847,0.0112176534626398,0.00860651861628571,"84868/1493/6348/3122/3458/3108/7412/3682/5066/868/84959/847",12
"umls:C0151449","umls:C0151449","Primary Sjogren's syndrome","5/250","42/17381",0.000325812881386,0.0112176534626398,0.00860651861628571,"1493/6348/406947/356/6774",5
"umls:C0149521","umls:C0149521","Pancreatitis, Chronic","13/250","292/17381",0.000326937745647688,0.0112176534626398,0.00860651861628571,"1493/953/3458/406947/2597/7412/3560/7133/356/1890/6774/847/1508",13
"umls:C1095979","umls:C1095979","Progressive multiple sclerosis","3/250","10/17381",0.000327422289777787,0.0112176534626398,0.00860651861628571,"1493/29851/50615",3
"umls:C0015929","umls:C0015929","Fetal Diseases","9/250","151/17381",0.00034197003627447,0.0112176534626398,0.00860651861628571,"1493/6348/3458/3560/7133/26191/356/5445/4522",9
"umls:C0018790","umls:C0018790","Cardiac Arrest","9/250","151/17381",0.00034197003627447,0.0112176534626398,0.00860651861628571,"3458/7412/3162/6310/4061/7037/836/808/847",9
"umls:C0036920","umls:C0036920","Sezary Syndrome","9/250","151/17381",0.00034197003627447,0.0112176534626398,0.00860651861628571,"9760/3458/10563/7133/7128/54806/6774/50615/54790",9
"umls:C0002171","umls:C0002171","Alopecia Areata","6/250","66/17381",0.000368254872245609,0.0117916865960329,0.00904693397279198,"1493/3458/26191/356/25824/2625",6
"umls:C3714757","umls:C3714757","Juvenile rheumatoid arthritis","10/250","186/17381",0.000370362442739139,0.0117916865960329,0.00904693397279198,"1493/10663/6348/3458/7133/26191/7128/3162/5873/9051",10
"umls:C0037286","umls:C0037286","Skin Neoplasms","14/250","336/17381",0.000380095039495305,0.0119261704421353,0.00915011399425769,"1493/4647/3458/7412/3682/356/1890/5900/7979/836/6774/1499/847/1460",14
"umls:C0027430","umls:C0027430","Nasal Polyps","11/250","223/17381",0.000397977099729545,0.012154134162829,0.00932501456615739,"3604/6348/1130/3458/406947/7412/7292/7128/836/6774/2625",11
"umls:C0038522","umls:C0038522","Subacute Sclerosing Panencephalitis","5/250","44/17381",0.000406343980372292,0.012154134162829,0.00932501456615739,"5133/1493/3458/952/4599",5
"umls:C0280803","umls:C0280803","Primary central nervous system lymphoma","5/250","44/17381",0.000406343980372292,0.012154134162829,0.00932501456615739,"10563/639/7128/9260/79718",5
"umls:C0035235","umls:C0035235","Respiratory Syncytial Virus Infections","13/250","299/17381",0.000409816071079224,0.012154134162829,0.00932501456615739,"84868/1493/3458/10563/5740/7412/3560/7133/25897/5781/6774/10379/2625",13
"umls:C0024301","umls:C0024301","Lymphoma, Follicular","15/250","380/17381",0.000418979647546468,0.0122579856342987,0.00940469251533892,"5133/1493/29851/406947/2597/639/7128/10018/10797/836/6774/50615/399/4170/79415",15
"umls:C0008312","umls:C0008312","Primary biliary cirrhosis","12/250","262/17381",0.000428526977861255,0.0123701454275949,0.00949074485705348,"5133/1493/3458/29851/7292/4664/356/22806/10950/6774/11262/10241",12
"umls:C0024419","umls:C0024419","Waldenstrom Macroglobulinemia","7/250","96/17381",0.000470377883284574,0.0133762766370772,0.0102626787569262,"939/406947/3682/356/894/970/4170",7
"umls:C0021051","umls:C0021051","Immunologic Deficiency Syndromes","16/250","427/17381",0.000479634869925532,0.0133762766370772,0.0102626787569262,"5133/1493/10663/3604/3458/952/3560/3516/10018/5873/967/9260/6774/5573/2130/1508",16
"umls:C0333997","umls:C0333997","Lymphoid hyperplasia","4/250","26/17381",0.000486921109644065,0.0133762766370772,0.0102626787569262,"3458/10563/29851/9260",4
"umls:C0345967","umls:C0345967","Malignant mesothelioma","12/250","266/17381",0.000490645994770556,0.0133762766370772,0.0102626787569262,"1435/3458/7412/3560/7133/924/894/23741/6774/1499/4170/847",12
"umls:C0014038","umls:C0014038","Encephalitis","8/250","127/17381",0.000503935370328528,0.0133762766370772,0.0102626787569262,"6348/3458/952/7412/836/6774/29110/1508",8
"umls:C0042749","umls:C0042749","Viremia","6/250","70/17381",0.000506630339141032,0.0133762766370772,0.0102626787569262,"84868/5133/3458/952/3660/10379",6
"umls:C0311375","umls:C0311375","Arsenic Poisoning","6/250","70/17381",0.000506630339141032,0.0133762766370772,0.0102626787569262,"5996/4929/3398/57162/5445/9446",6
"umls:C0023452","umls:C0023452","Leukemia, Lymphocytic, Acute, L1","15/250","388/17381",0.000520400009147889,0.0135742893952431,0.0104146000562507,"3122/3458/952/84159/356/10018/894/22806/5781/4522/7037/836/2625/4170/9446",15
"umls:C0002895","umls:C0002895","Anemia, Sickle Cell","11/250","232/17381",0.000554844416481692,0.014242669916208,0.0109274015450474,"9760/3458/952/2597/7412/5251/3162/7037/836/808/308",11
"umls:C0011065","umls:C0011065","Cessation of life","8/250","129/17381",0.000559181035971213,0.014242669916208,0.0109274015450474,"10663/3458/2597/3732/836/1499/4170/1508",8
"umls:C0040147","umls:C0040147","Thyroiditis","7/250","99/17381",0.000566511685901186,0.0142616023253031,0.0109419270544929,"1493/3458/29851/26191/356/6774/6717",7
"umls:C0026691","umls:C0026691","Mucocutaneous Lymph Node Syndrome","10/250","197/17381",0.000581667367176259,0.014456516098455,0.011091470720001,"1493/3458/406947/7412/7128/8832/57162/836/2625/11262",10
"umls:C0015403","umls:C0015403","Eye Infections","3/250","12/17381",0.000587608968436048,0.014456516098455,0.011091470720001,"3458/406947/7462",3
"umls:C0549463","umls:C0549463","X-Linked Lymphoproliferative Disorder","5/250","49/17381",0.000673048280574404,0.0160598118780674,0.0123215671051855,"1130/3458/29851/5873/8832",5
"umls:C1512326","umls:C1512326","Human T-cell lymphotropic virus 1 infection","5/250","49/17381",0.000673048280574404,0.0160598118780674,0.0123215671051855,"1493/952/7133/10018/54806",5
"umls:C0020456","umls:C0020456","Hyperglycemia","16/250","441/17381",0.000678769805833852,0.0160598118780674,0.0123215671051855,"1493/1435/1757/3458/1390/3108/7412/2731/5066/25897/3162/7037/2590/10725/3939/847",16
"umls:C0027686","umls:C0027686","Pathologic Neovascularization","6/250","74/17381",0.000682449280730809,0.0160598118780674,0.0123215671051855,"5133/3458/7133/356/10018/836",6
"umls:C0035435","umls:C0035435","Rheumatism","7/250","103/17381",0.000718308200067653,0.0165590850363576,0.0127046243769891,"3458/3805/7133/26191/94240/9260/4061",7
"umls:C0333307","umls:C0333307","Superficial ulcer","8/250","134/17381",0.000718962583564717,0.0165590850363576,0.0127046243769891,"1435/10563/3108/7412/3560/54/26191/1508",8
"umls:C0376544","umls:C0376544","Hematopoietic Neoplasms","9/250","168/17381",0.000742094288378271,0.0167905636753962,0.0128822216991735,"64092/3162/894/5778/7037/1495/6774/808/54790",9
"umls:C0000833","umls:C0000833","Abscess","4/250","29/17381",0.000747845466601322,0.0167905636753962,0.0128822216991735,"6348/3458/9051/847",4
"umls:C0752124","umls:C0752124","Spinocerebellar Ataxia Type 6 (disorder)","3/250","13/17381",0.000755798382844793,0.0167905636753962,0.0128822216991735,"6310/4061/836",3
"umls:C0039103","umls:C0039103","Synovitis","7/250","104/17381",0.000760873141038868,0.0167905636753962,0.0128822216991735,"1435/3458/54/26191/7128/1890/6774",7
"umls:C0032285","umls:C0032285","Pneumonia","15/250","403/17381",0.000767790209637055,0.0167905636753962,0.0128822216991735,"1493/6348/3458/10563/29851/7412/3560/7133/7292/4046/3162/64218/6774/2625/4170",15
"umls:C0085129","umls:C0085129","Bronchial Hyperreactivity","9/250","170/17381",0.000807440663935137,0.0174810903741957,0.0134120143967331,"1493/939/3122/3458/29851/7412/3560/3660/2625",9
"umls:C0030305","umls:C0030305","Pancreatitis","10/250","208/17381",0.000884254571908378,0.0187687367468788,0.014399935133864,"1493/3458/952/1890/3162/836/6774/81671/847/1508",10
"umls:C0042900","umls:C0042900","Vitiligo","10/250","208/17381",0.000884254571908378,0.0187687367468788,0.014399935133864,"84868/1493/3458/116449/26191/356/3162/6503/25824/847",10
"umls:C0026640","umls:C0026640","Mouth Neoplasms","10/250","210/17381",0.000951156370398898,0.0192401708555162,0.0147616334556969,"2597/7133/356/1890/3162/7167/308/1499/4170/847",10
"umls:C0024054","umls:C0024054","Lown-Ganong-Levine Syndrome","3/250","14/17381",0.000951740881762329,0.0192401708555162,0.0147616334556969,"1493/3458/6774",3
"umls:C0010823","umls:C0010823","Cytomegalovirus Infections","9/250","174/17381",0.000952208582265083,0.0192401708555162,0.0147616334556969,"5133/1493/10663/953/3458/3805/25897/3428/6774",9
"umls:C0026936","umls:C0026936","Mycoplasma Infections","6/250","79/17381",0.000964761617289527,0.0192401708555162,0.0147616334556969,"2597/3560/7133/9585/836/10379",6
"umls:C3539878","umls:C3539878","Triple Negative Breast Neoplasms","16/250","456/17381",0.000966741671014375,0.0192401708555162,0.0147616334556969,"5133/1846/406947/7412/3560/94240/894/4739/5781/7037/5315/6774/308/2182/2625/4170",16
"umls:C0027662","umls:C0027662","Multiple Endocrine Neoplasia","5/250","53/17381",0.000966753527235387,0.0192401708555162,0.0147616334556969,"1757/5781/6774/5573/9049",5
"umls:C0020626","umls:C0020626","Hypoparathyroidism","4/250","31/17381",0.000968673728984417,0.0192401708555162,0.0147616334556969,"1493/26191/5573/2625",4
"umls:C0006274","umls:C0006274","Bronchiolitis, Viral","10/250","211/17381",0.00098613245763433,0.0194088797343484,0.0148910719439902,"84868/1493/3458/10563/7412/3560/7133/6774/10379/2625",10
"umls:C1318544","umls:C1318544","M5b Acute differentiated monocytic leukemia","6/250","80/17381",0.00103063984324824,0.0201021194651571,0.0154229461606991,"6348/1435/7412/3162/7037/808",6
"umls:C0003130","umls:C0003130","Anoxia","13/250","332/17381",0.00108223195363915,0.0207559007661114,0.0159245466920743,"953/1435/1757/3458/2597/7412/7128/1890/3162/11315/836/6774/405",13
"umls:C1709246","umls:C1709246","Non-Neoplastic Disorder","16/250","461/17381",0.00108333338871621,0.0207559007661114,0.0159245466920743,"1493/3458/406947/7128/894/9260/9619/836/6774/25824/1499/2625/4170/3939/847/1508",16
"umls:C0362046","umls:C0362046","Prediabetes syndrome","6/250","81/17381",0.00109991891537449,0.020888810980577,0.0160265193763707,"1493/3122/3458/26191/54790/847",6
"umls:C0278883","umls:C0278883","Metastatic melanoma","13/250","333/17381",0.00111208598004718,0.0209362273634968,0.0160628986408645,"84868/5133/1493/22822/3458/2597/4345/3732/967/6774/25824/808/1508",13
"umls:C0220641","umls:C0220641","Lip and Oral Cavity Carcinoma","15/250","419/17381",0.00113545488931173,0.021191895132413,0.0162590545856072,"22822/7133/3732/356/3162/10950/5781/7037/1495/836/5573/308/4170/847/1508",15
"umls:C0011311","umls:C0011311","Dengue Fever","9/250","179/17381",0.00116209235217297,0.0213867772860517,0.0164085739916809,"1493/6348/3458/7412/3162/684/5781/4940/2625",9
"umls:C0079773","umls:C0079773","Lymphoma, T-Cell, Cutaneous","11/250","254/17381",0.00116565345023284,0.0213867772860517,0.0164085739916809,"1493/9760/3458/406947/7128/356/54806/5781/6774/308/4170",11
"umls:C0027697","umls:C0027697","Nephritis","8/250","145/17381",0.00120076025003254,0.0218457642127769,0.016760722463966,"1493/6348/406947/7412/7133/7128/894/2625",8
"umls:C0023646","umls:C0023646","Lichen Planus","4/250","33/17381",0.00123172697253101,0.0220387512027243,0.0169087878438794,"3458/114614/406947/7412",4
"umls:C0042165","umls:C0042165","Anterior uveitis","4/250","33/17381",0.00123172697253101,0.0220387512027243,0.0169087878438794,"1493/6348/7133/26191",4
"umls:C0027540","umls:C0027540","Necrosis","5/250","56/17381",0.00124268708670763,0.0220526028091968,0.0169194152098761,"3458/2597/356/847/1508",5
"umls:C0025500","umls:C0025500","Mesothelioma","14/250","381/17381",0.00129110186818115,0.0227254922326195,0.0174356760632423,"10663/1435/3458/7412/54/3162/9619/23741/836/6774/808/1499/2130/847",14
"umls:C0025517","umls:C0025517","Metabolic Diseases","14/250","383/17381",0.001356335684516,0.0236811835240092,0.0181689109521753,"10663/952/406947/7453/7133/84159/3162/7167/1495/5315/6774/5573/1499/847",14
"umls:C0036220","umls:C0036220","Kaposi Sarcoma","9/250","184/17381",0.00140790430745484,0.0238717611012312,0.0183151277587178,"10663/3458/406947/7453/7292/3162/836/6774/1499",9
"umls:C0013080","umls:C0013080","Down Syndrome","16/250","473/17381",0.00141271546317727,0.0238717611012312,0.0183151277587178,"3458/64092/952/406947/2597/3162/9619/684/4522/836/6774/4599/10459/57819/5686/847",16
"umls:C0001175","umls:C0001175","Acquired Immunodeficiency Syndrome","8/250","149/17381",0.001429182906337,0.0238717611012312,0.0183151277587178,"10663/6348/953/3458/3108/60489/356/9260",8
"umls:C0002874","umls:C0002874","Aplastic Anemia","8/250","149/17381",0.001429182906337,0.0238717611012312,0.0183151277587178,"84868/5133/3458/7133/356/6774/2625/54790",8
"umls:C0152026","umls:C0152026","Retinal Vasculitis","3/250","16/17381",0.00143340828783375,0.0238717611012312,0.0183151277587178,"3458/26191/7188",3
"umls:C0242526","umls:C0242526","Gonadal Dysgenesis, 45,X","3/250","16/17381",0.00143340828783375,0.0238717611012312,0.0183151277587178,"2597/26191/10018",3
"umls:C0238461","umls:C0238461","Anaplastic thyroid carcinoma","10/250","223/17381",0.00149452776854829,0.0246996383122675,0.0189502998695797,"25897/3984/836/5315/6774/5573/1499/3939/847/1508",10
"umls:C0020523","umls:C0020523","Immediate hypersensitivity","7/250","117/17381",0.00151788766472113,0.0248956575312216,0.019100691666108,"1493/3122/3458/29851/7412/3660/2625",7
"umls:C0004031","umls:C0004031","Aspergillosis, Allergic Bronchopulmonary","3/250","17/17381",0.00172217762200903,0.0278163350471593,0.0213415226470973,"3458/2597/847",3
"umls:C1849193","umls:C1849193","PEELING SKIN SYNDROME","3/250","17/17381",0.00172217762200903,0.0278163350471593,0.0213415226470973,"939/3458/970",3
"umls:C0019158","umls:C0019158","Hepatitis","11/250","267/17381",0.0017345058805388,0.0278163350471593,0.0213415226470973,"1493/3458/7412/60489/356/3162/54806/836/6774/1499/847",11
"umls:C0032131","umls:C0032131","Plasmacytoma","6/250","89/17381",0.0017907584346557,0.0285072941987471,0.021871647135346,"939/639/2280/894/4170/847",6
"umls:C0002875","umls:C0002875","Cooley's anemia","5/250","61/17381",0.0018261591149139,0.02885864586707,0.0221412146241578,"953/3458/952/7453/54",5
"umls:C0677607","umls:C0677607","Hashimoto Disease","7/250","121/17381",0.00184135274585349,0.0288878890925565,0.0221636508997468,"1493/3458/26191/356/6310/7979/50615",7
"umls:C1561535","umls:C1561535","Creatinine finding","6/250","90/17381",0.00189601815150088,0.0295315057410028,0.0226574528062732,"10563/356/7227/6310/5583/2625",6
